university,rank,country,course_code,course_title,level,degree_context,department,academic_year,term,source_url,source_type,source_status,confidence,notes
Harvard University,1,United States,,Harvard Physics 143b: Quantum Mechanics II,BSc/undergraduate (inferred),,,,,https://www.scribd.com/doc/181608088/syllabus-pdf,official/course syllabus candidate,candidate checked; no recognized textbook match,Candidate,not established
Harvard University,1,United States,,"PDF Physics 253a: Quantum Field Theory I Harvard University, Fall 2022 ...",MSc/graduate (inferred),,,,,https://storage.googleapis.com/coursetexts-notion/yin-physics253a/syllabus%20Physics%20253a.pdf,official/course syllabus candidate,candidate checked; no recognized textbook match,Candidate,possibly official academic page
Stanford University,2,United States,,QUANTUM MECHANICS: Stanford University,Unknown,,,,,https://www.bkstr.com/stanfordstore/product/quantum-mechanics-215506-1,search candidate,candidate checked; no recognized textbook match,Candidate,not established
Stanford University,2,United States,,Intro to Quantum Mechanics: Stanford University,Unknown,,,,,https://www.bkstr.com/stanfordstore/product/intro-to-quantum-mechanics-613295-1,search candidate,candidate checked; no recognized textbook match,Candidate,not established
Stanford University,2,United States,,Course: Advanced Quantum Mechanics,MSc/graduate (inferred),,,,,https://www.riseupp.com/course/stanford-university/advanced-quantum-mechanics,course catalog/module candidate,textbook match found,D,possibly official academic page
Stanford University,2,United States,,Quantum Mechanics for Scientists and Engineers,Unknown,,,,,https://online.stanford.edu/courses/soe-yeeqmse01-quantum-mechanics-scientists-and-engineers,official/course syllabus candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Stanford University,2,United States,,Quantum Mechanics for Scientists and Engineers,Unknown,,,,,https://www.cambridge.org/highereducation/books/quantum-mechanics-for-scientists-and-engineers/D7E998F63F840E09A1E98E6FF33694A5,search candidate,textbook match found,E,not established
Stanford University,2,United States,,Quantum Mechanics for Scientists and Engineers 2,BSc/undergraduate (inferred),,,,,https://online.stanford.edu/courses/soe-yeeqmse-02-quantum-mechanics-scientists-and-engineers-2,search candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Stanford University,2,United States,,Applied Quantum Mechanics I,BSc/undergraduate (inferred),,,,,https://online.stanford.edu/courses/ee222-applied-quantum-mechanics-i,search candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Stanford University,2,United States,,Quantum Computing,Unknown,,,,,https://online.stanford.edu/courses/cs259q-quantum-computing,search candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Massachusetts Institute of Technology,3,United States,5-73,Quantum Mechanics I,BSc/undergraduate (inferred),,,,,https://ocw.mit.edu/courses/5-73-quantum-mechanics-i-fall-2018/pages/syllabus/,official/course syllabus candidate,textbook match found,A,likely official academic domain
Massachusetts Institute of Technology,3,United States,6-728,Applied Quantum and Statistical Physics,Unknown,,,,,https://ocw.mit.edu/courses/6-728-applied-quantum-and-statistical-physics-fall-2006/pages/syllabus/,official/course syllabus candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Massachusetts Institute of Technology,3,United States,8-06,Quantum Physics III,MSc/graduate (inferred),,,,,https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/,official/course syllabus candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Massachusetts Institute of Technology,3,United States,8-05,Quantum Physics II,MSc/graduate (inferred),,,,,https://ocw.mit.edu/courses/8-05-quantum-physics-ii-fall-2013/,open courseware,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Massachusetts Institute of Technology,3,United States,8-04,Readings,BSc/undergraduate (inferred),,,,,https://ocw.mit.edu/courses/8-04-quantum-physics-i-spring-2013/pages/readings/,reading list candidate,textbook match found,C,likely official academic domain
Massachusetts Institute of Technology,3,United States,,Introduction to Quantum Mechanics 804,BSc/undergraduate (inferred),,,,,https://www.scribd.com/document/347470835/lZ3bPUKo5zc,open courseware,textbook match found,D,not established
Massachusetts Institute of Technology,3,United States,8-04,Quantum Physics I,BSc/undergraduate (inferred),,,,,https://ocw.mit.edu/courses/8-04-quantum-physics-i-spring-2013/pages/syllabus/,official/course syllabus candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
Massachusetts Institute of Technology,3,United States,8-04,Quantum Physics I,BSc/undergraduate (inferred),,,,,https://ocw.mit.edu/courses/8-04-quantum-physics-i-spring-2016/,open courseware,candidate checked; no recognized textbook match,Candidate,likely official academic domain
University of Cambridge,4,United Kingdom,,David Skinner -- Principles of Quantum Mechanics -- University of Cambridge,Unknown,,,,,https://www.damtp.cam.ac.uk/user/dbs26/PQM.html,search candidate,textbook match found,A,likely official academic domain
University of Cambridge,4,United Kingdom,,Quantum mechanics,Unknown,,,,,https://www.cam.ac.uk/subjects/Quantum-mechanics,search candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
University of Oxford,6,United Kingdom,,Quantum Processes and Computation: 2024-2025,Unknown,,,,,https://www.cs.ox.ac.uk/teaching/courses/2024-2025/quantum/,search candidate,textbook match found,A,likely official academic domain
University of Oxford,6,United Kingdom,,Categorical Quantum Mechanics: 2019-2020,BSc/undergraduate (inferred),,,,,https://www.cs.ox.ac.uk/teaching/courses/2019-2020/cqm/,search candidate,textbook match found,A,likely official academic domain
University of Oxford,6,United Kingdom,,Quantum Processes and Computation: 2020-2021,Unknown,,,,,https://www.cs.ox.ac.uk/teaching/courses/2020-2021/quantum/,search candidate,textbook match found,A,likely official academic domain
University of Oxford,6,United Kingdom,,Categorical Quantum Mechanics: 2020-2021,BSc/undergraduate (inferred),,,,,https://www.cs.ox.ac.uk/teaching/courses/2020-2021/cqm/,search candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
University of Oxford,6,United Kingdom,,Quantum club,BSc/undergraduate (inferred),,,,,https://www.physics.ox.ac.uk/engage/schools/secondary-schools/projects-and-mentoring/quantum-club,search candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
University of Oxford,6,United Kingdom,,Quantum Mechanics,Unknown,,,,,https://podcasts.ox.ac.uk/series/quantum-mechanics,search candidate,candidate checked; no recognized textbook match,Candidate,likely official academic domain
University of Oxford,6,United Kingdom,,Quantum Mechanics course at University of Oxford - Studydrive,Unknown,,,,,https://www.studydrive.net/en/course/quantum-mechanics/466400,search candidate,candidate checked; no recognized textbook match,Candidate,possibly official academic page
University of Oxford,6,United Kingdom,,Quantum Mechanics: A New Introduction,BSc/undergraduate (inferred),,,,,https://academic.oup.com/book/54860,search candidate,textbook match found,E,not established
